Baselines,Final IG mean,Final IG std,Avg MSE,Std MSE
ind,-6.617 (0.393),0.178 (0.059),7.270 (0.198),2.869 (0.080)
rand,2.011 (1.267),0.891 (0.630),4.506 (0.163),2.342 (0.207)
entropy,0.832 (0.383),0.651 (0.460),4.116 (0.132),2.524 (0.091)
joint,2.888 (1.057),0.517 (0.366),5.551 (0.803),2.190 (0.465)
greedy_1,3.349 (0.484),0.204 (0.144),4.415 (0.070),2.230 (0.238)
greedy_2,3.487 (0.480),0.195 (0.138),4.349 (0.238),2.136 (0.172)
greedy_3,3.175 (0.374),0.167 (0.118),4.509 (0.189),2.264 (0.224)
greedy_4,3.706 (0.877),0.335 (0.237),4.234 (0.032),2.629 (0.053)
greedysum,3.315 (0.747),0.319 (0.225),4.432 (0.136),2.343 (0.167)
dynamic_beta,3.107 (0.551),0.251 (0.177),4.321 (0.103),2.438 (0.130)
