Baselines,Avg MSE,Stderr,Std MSE,Stderr Std
greedy_1,4.070466997661223,0.36881269018890744,2.004383916189088,0.5113642904185831
greedy_2,4.284268303881273,0.14002978529585383,1.470073567662826,0.448108085502507
greedy_3,3.9609045449018483,0.3668981415029781,1.7804991965424168,0.3569019204626647
greedy_4,4.197849830854285,0.3195550856829052,1.8411323367700878,0.35519602509287884
greedysum,3.959946353173655,0.37322547992987254,1.221677262344362,0.3752158263108133
dynamic_beta,3.8313147931193123,0.24650846874195828,1.335084757145893,0.48705128105553674
joint,3.8893200894335154,0.29896369026046204,1.4859320218598386,0.3453647601228461
rand,4.973590618544473,1.2542439512084782,2.4570557226735885,0.8953288392825369
entropy,4.47271683985923,0.4994823797884919,1.8600615466133117,0.429532580774893
ind,6.79646153447097,0.5547045362173684,3.6529125641080094,0.39012918460938445
