Baselines,Avg MSE,Stderr,Std MSE,Stderr Std
greedy_1,4.668268816920556,0.3690379198431879,1.4206992420524658,0.20374126610793428
greedy_2,4.329659125404669,0.4597760336746013,1.2797181304828786,0.24044330551814622
greedy_3,4.753034472346333,0.25396599611680104,1.2778441785610017,0.2096466004396069
greedy_4,4.555579802605218,0.41755198970989515,1.3266877285509218,0.2955270967752977
greedysum,4.13030565536547,0.467666126019016,1.376866422789421,0.27625599615142915
dynamic_beta,4.654190465161304,0.2664958453461688,1.0819595726596825,0.20696989065873903
joint,4.603693104304263,0.2826050823138819,1.3612097878074223,0.2993968426620386
rand,4.166452785542743,0.3193415769426749,1.433461746905413,0.2517525376427643
entropy,2.7718400977698687,0.4227397619228137,1.0535374546572638,0.07559963959875235
ind,5.1793163223855325,0.8029547161967946,2.613171411974481,0.13721544329599858
