Baselines,Avg MSE,Stderr,Std MSE,Stderr Std
greedy_1,0.03288606298080141,0.006426061654395983,0.02850403332794384,0.006959137833217363
greedy_2,0.022253538866489724,0.004153464668718596,0.021767155357540403,0.0060754342538266075
greedy_3,0.023506771146671535,0.003797787045704409,0.018159979227203235,0.003507140217977986
greedy_4,0.02158607166442155,0.0016973675177959662,0.017382580510180535,0.004305229423265674
greedysum,0.031188127655850068,0.006728394401821782,0.027467322215302136,0.006862513228871069
dynamic_beta,0.03435721830245243,0.005906969589115262,0.028412974723152212,0.006610323782788526
joint,0.026464389696924183,0.0038738597091307505,0.020137556016988613,0.0038779688562105737
rand,0.037304878602201566,0.005307255407700229,0.03151947448130894,0.006825029811803119
entropy,0.05681159420289855,0.0,0.05456054987062002,3.469446951953614e-18
ind,0.042456448439472966,0.0,0.03696385254767709,0.0
