Methods,Final IG mean,Final IG mean (sem),Final IG std,Final IG std (sem)
ind,97.9919455256381,9.910738682494824,0.5446464082266232,0.10113829896255945
rand,295.066146862081,3.325631662647451,0.01593931886388764,0.011270800456149609
entropy,188.7246880894376,2.1663614304089154,0.016233688061173923,0.011478950911723178
joint,329.723729812537,11.949870509517357,0.051254026978191584,0.03624207003939752
greedy_1,371.7535174037633,55.58797550965792,0.21146610641275906,0.149529117835578
greedy_2,377.50058207029184,47.51867652102645,0.1780170945260752,0.12587709470651443
greedy_3,379.46440119646974,44.346470759324234,0.1652734227333936,0.11686595796469353
greedy_4,383.5226521679599,21.327502353097486,0.078643706985228,0.05560949850690258
greedysum,383.4938716455601,18.334063520067726,0.0676106795976482,0.047807970024128
dynamic_beta,379.17594972872183,1.2116484964673897,0.004519088665193821,0.003195478239941814
