Baselines,Avg MSE,Stderr,Std MSE,Stderr Std
greedy_1,0.19562392637961118,0.006447478334745163,0.19562392637961118,0.006447478334745163
greedy_2,0.1968922878705971,0.00561150723562674,0.1968922878705971,0.00561150723562674
greedy_3,0.1916293597551052,0.006812299138181942,0.1916293597551052,0.006812299138181942
greedy_4,0.1856730351926719,0.0072997229227789616,0.1856730351926719,0.0072997229227789616
greedy_sum,0.19593602605166505,0.009901519175684577,0.19593602605166505,0.009901519175684577
dynamic_beta,0.17289313235180245,0.005421762175584385,0.17289313235180245,0.005421762175584385
joint,0.18852100416119652,0.003828809919238528,0.18852100416119652,0.003828809919238528
rand,0.17945483343527707,0.003332941440858223,0.17945483343527707,0.003332941440858223
entropy,0.16278971007667606,0.00444423825350284,0.16278971007667606,0.00444423825350284
indiv_greedy,0.17716131851316264,0.0019228791276262364,0.17716131851316264,0.0019228791276262364
