Baselines,Final IG mean,Final IG std,Avg MSE,Std MSE
ind,51.708 (7.369),0.533 (0.143),0.228 (0.001),0.063 (0.000)
rand,171.949 (7.276),0.060 (0.042),0.201 (0.018),0.044 (0.004)
entropy,99.825 (2.176),0.031 (0.022),0.212 (0.016),0.028 (0.006)
joint,182.095 (7.227),0.056 (0.040),0.209 (0.026),0.040 (0.004)
greedy_1,215.673 (29.651),0.194 (0.137),0.222 (0.021),0.031 (0.005)
greedy_2,220.073 (31.980),0.206 (0.145),0.262 (0.022),0.054 (0.009)
greedy_3,221.808 (32.490),0.207 (0.146),0.226 (0.027),0.027 (0.007)
greedy_4,223.263 (14.591),0.092 (0.065),0.173 (0.024),0.035 (0.012)
greedysum,223.460 (15.109),0.096 (0.068),0.219 (0.013),0.039 (0.008)
dynamic_beta,215.206 (1.041),0.007 (0.005),0.255 (0.036),0.046 (0.014)
