Baselines,Avg MSE,Stderr,Std MSE,Stderr Std
greedy_1,0.22232308748743038,0.021100903043577444,0.03072264139777626,0.004569389591304325
greedy_2,0.2622986543792984,0.02189188399327308,0.053761527352475656,0.008759901625411202
greedy_3,0.2255513480408851,0.02650431458361613,0.026999839871746124,0.006593132714749899
greedy_4,0.1725045509139294,0.02374717490800421,0.03481455193535479,0.011746790831645244
greedysum,0.21911781978553777,0.012653695922431762,0.038695342744388087,0.008453399139580117
dynamic_beta,0.25498834010954674,0.03577737288580024,0.04579514754947212,0.014497241106130494
joint,0.2092743682485537,0.025946993693512083,0.040436003328223495,0.004301148214406168
rand,0.20136024894011334,0.017956090643477397,0.04383624373724835,0.0042318483955854445
entropy,0.21200062239579304,0.016309140890904517,0.02828422669758774,0.0057452527799610525
ind,0.22773113652209226,0.0007484842281405803,0.06273576448245385,0.00040632008284541217
