Methods,Final IG mean,Final IG mean (sem),Final IG std,Final IG std (sem)
ind,2.9703794082613673,0.12375098609031908,0.1815990378303028,0.04166167653402682
rand,89.89997472541489,12.115724059543947,0.19059205895564266,0.1347689373278412
entropy,17.09202560553884,11.145369801295397,0.9221805240888281,0.6520801020613748
joint,100.88097812028037,16.043754142377313,0.22491152566420483,0.15903646496417145
greedy_1,101.78953689718905,17.34021592029085,0.2409163974655079,0.1703536183468942
greedy_2,101.88646528523559,16.049115708587316,0.2227663609257459,0.1575196044308449
greedy_3,101.40064407125578,16.542935308064735,0.230720856740177,0.16314428236214912
greedy_4,102.00638234655644,15.601619189084792,0.2163004014515851,0.1529474806397884
greedysum,101.75083565227307,15.760847006579288,0.21905671288404688,0.1548964871447441
dynamic_beta,95.35556027844787,9.899903469267633,0.1468249749835211,0.10382093545839298
